iteration,best_params,best_score,Kp,Ki,Kd,metrics
39,"[0.3954348252555662, 0.0, 601.9046216460517]",99747.61831041312,0.3954348252555662,0.0,601.9046216460517,"{'ISE': np.float64(526506.8957238798), 'IAE': np.float64(61195.06061295404), 'ITAE': np.float64(149666021.6213796), 'overshoot': np.float64(0.19623882551379523), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606818166627)}"
40,"[0.39543482525554297, 0.0, 601.9046216460523]",99747.61831041312,0.39543482525554297,0.0,601.9046216460523,"{'ISE': np.float64(526506.8935759941), 'IAE': np.float64(61195.06042370624), 'ITAE': np.float64(149666021.20126683), 'overshoot': np.float64(0.19623882551390182), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606816182542)}"
41,"[0.3954348252555337, 0.0, 601.9046216460525]",99747.61831041312,0.3954348252555337,0.0,601.9046216460525,"{'ISE': np.float64(526506.8985097674), 'IAE': np.float64(61195.06072428342), 'ITAE': np.float64(149666021.69872725), 'overshoot': np.float64(0.19623882552728844), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606818991295)}"
42,"[0.39543482525553, 0.0, 601.9046216460526]",99747.61831041312,0.39543482525553,0.0,601.9046216460526,"{'ISE': np.float64(526506.8975070639), 'IAE': np.float64(61195.06072222337), 'ITAE': np.float64(149666021.81231174), 'overshoot': np.float64(0.19623882553479888), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606819187502)}"
43,"[0.3954348252555285, 0.0, 601.9046216460526]",99747.61831041312,0.3954348252555285,0.0,601.9046216460526,"{'ISE': np.float64(526506.8960789343), 'IAE': np.float64(61195.0606418519), 'ITAE': np.float64(149666021.69947535), 'overshoot': np.float64(0.1962388255053895), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606818492987)}"
44,"[0.39543482525552787, 0.0, 601.9046216460526]",99747.61831041312,0.39543482525552787,0.0,601.9046216460526,"{'ISE': np.float64(526506.8939334846), 'IAE': np.float64(61195.060451272344), 'ITAE': np.float64(149666021.2565778), 'overshoot': np.float64(0.19623882551385208), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606816470481)}"
45,"[0.39543482525552764, 0.0, 601.9046216460526]",99747.61831041312,0.39543482525552764,0.0,601.9046216460526,"{'ISE': np.float64(526506.8960802924), 'IAE': np.float64(61195.06064083938), 'ITAE': np.float64(149666021.68025655), 'overshoot': np.float64(0.1962388255383587), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606818465376)}"
46,"[0.39543482525552753, 0.0, 601.9046216460526]",99747.61831041312,0.39543482525552753,0.0,601.9046216460526,"{'ISE': np.float64(526506.8957244867), 'IAE': np.float64(61195.060614704846), 'ITAE': np.float64(149666021.6453025), 'overshoot': np.float64(0.19623882550645533), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606818210199)}"
47,"[0.3954348252555275, 0.0, 601.9046216460526]",99747.61831041312,0.3954348252555275,0.0,601.9046216460526,"{'ISE': np.float64(526506.8935776396), 'IAE': np.float64(61195.06042313537), 'ITAE': np.float64(149666021.18841156), 'overshoot': np.float64(0.19623882552835425), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.560681616211)}"
48,"[0.3954348252555275, 0.0, 601.9046216460526]",99747.61831041312,0.3954348252555275,0.0,601.9046216460526,"{'ISE': np.float64(526506.8935776396), 'IAE': np.float64(61195.06042313537), 'ITAE': np.float64(149666021.18841156), 'overshoot': np.float64(0.19623882552835425), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.560681616211)}"
49,"[0.3954348252555275, 0.0, 601.9046216460526]",99747.61831041312,0.3954348252555275,0.0,601.9046216460526,"{'ISE': np.float64(526506.8935776396), 'IAE': np.float64(61195.06042313537), 'ITAE': np.float64(149666021.18841156), 'overshoot': np.float64(0.19623882552835425), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.560681616211)}"
